"nome_do_estudante","leituras_em_andamento","leituras_concluidas","total_de_leituras","tempo_de_leitura_minutos","questoes_respondidas","questoes_aprovadas","nivel","livros_escutados","tempo_de_escuta","tempo_de_escuta_minutos","nivel_numerico","compreensao_textual","engajamento_leitura","turma","periodo"
"Aluno_20",0,8,8,64.8,0,0,"C",24,"42min 15s",42.25,1,0,100,"A","manha"
"Aluno_21",4,8,12,21.5,0,0,"B",3,"13min 38s",13.63,1,0,66.67,"A","manha"
"Aluno_22",0,2,2,20.05,4,0,"dd",21,"31min 02s",31.03,0,0,100,"A","manha"
"Aluno_23",28,86,114,182.67,169,68,"dd",49,"1h 04min 15s",64.25,0,40.24,75.44,"B","manha"
"Aluno_24",5,40,45,129.35,0,0,"dd",30,"45min 26s",45.43,0,0,88.89,"B","manha"
"Aluno_25",10,52,62,112.57,36,7,"dd",26,"28min 57s",28.95,0,19.44,83.87,"B","manha"
"Aluno_26",14,66,80,106.12,47,15,"cc",24,"26min 29s",26.48,0,31.91,82.5,"B","manha"
"Aluno_27",7,40,47,85.28,42,19,"dd",45,"48min 21s",48.35,0,45.24,85.11,"B","manha"
"Aluno_28",9,39,48,84.35,221,72,"dd",58,"1h 17min 23s",77.38,0,32.58,81.25,"B","manha"
"Aluno_29",13,37,50,83.95,47,12,"dd",17,"17min 17s",17.28,0,25.53,74,"B","manha"
"Aluno_30",11,38,49,78.65,381,158,"dd",67,"1h 34min 44s",94.73,0,41.47,77.55,"B","manha"
"Aluno_31",5,21,26,66.47,71,23,"dd",64,"1h 19min 54s",79.9,0,32.39,80.77,"B","manha"
"Aluno_32",4,11,15,63.47,25,13,"cc",39,"46min 47s",46.78,0,52,73.33,"B","manha"
"Aluno_33",5,36,41,60.23,5,0,"cc",19,"13min 10s",13.17,0,0,87.8,"B","manha"
"Aluno_34",5,26,31,58.35,74,26,"cc",27,"28min 03s",28.05,0,35.14,83.87,"B","manha"
"Aluno_35",6,19,25,52.25,80,48,"dd",51,"1h 07min 38s",67.63,0,60,76,"B","manha"
"Aluno_36",0,5,5,49.68,0,0,"C",0,"00s",0,1,0,100,"B","manha"
"Aluno_37",1,12,13,43.1,167,28,"cc",32,"58min 24s",58.4,0,16.77,92.31,"B","manha"
"Aluno_38",2,17,19,35.78,223,113,"cc",17,"23min 49s",23.82,0,50.67,89.47,"B","manha"
"Aluno_39",0,7,7,32.02,0,0,"C",0,"00s",0,1,0,100,"B","manha"
"Aluno_40",3,10,13,19.55,0,0,"C",33,"44min 18s",44.3,1,0,76.92,"B","manha"
"Aluno_41",0,0,0,0,0,0,"C",0,"00s",0,1,0,0,"B","manha"
"Aluno_42",0,0,0,0,0,0,"D",0,"00s",0,2,0,0,"B","manha"
"Aluno_43",0,0,0,0,0,0,"H",0,"00s",0,2,0,0,"B","manha"
"Aluno_44",0,0,0,0,0,0,"aa",0,"00s",0,0,0,0,"B","manha"
"Aluno_45",3,54,57,443.17,0,0,"C",0,"00s",0,1,0,94.74,"C","tarde"
"Aluno_46",7,75,82,255.43,0,0,"C",0,"00s",0,1,0,91.46,"C","tarde"
"Aluno_47",0,21,21,130.23,2,2,"C",3,"07min 18s",7.3,1,100,100,"C","tarde"
"Aluno_48",5,25,30,77.82,2,1,"C",43,"1h 05min ",65,1,50,83.33,"C","tarde"
"Aluno_49",6,21,27,70.55,61,24,"C",29,"45min 56s",45.93,1,39.34,77.78,"C","tarde"
"Aluno_50",18,61,79,67.92,8,1,"C",49,"1h 14min ",74,1,12.5,77.22,"C","tarde"
"Aluno_51",9,28,37,64.55,6,4,"C",83,"1h 54min 28s",114.47,1,66.67,75.68,"C","tarde"
"Aluno_52",6,15,21,45.28,84,47,"E",41,"1h 06min 03s",66.05,2,55.95,71.43,"C","tarde"
"Aluno_53",6,15,21,44.9,0,0,"C",75,"1h 46min 35s",106.58,1,0,71.43,"C","tarde"
"Aluno_54",9,18,27,38.2,39,19,"C",53,"2h 10s",120.17,1,48.72,66.67,"C","tarde"
"Aluno_55",7,19,26,34.32,32,12,"C",66,"1h 42min 01s",102.02,1,37.5,73.08,"C","tarde"
"Aluno_56",0,7,7,33.17,36,7,"C",10,"15min 22s",15.37,1,19.44,100,"C","tarde"
"Aluno_57",2,8,10,29.6,50,34,"C",42,"1h 13min 50s",73.83,1,68,80,"C","tarde"
"Aluno_58",4,14,18,28.25,6,0,"C",72,"1h 19min 55s",79.92,1,0,77.78,"C","tarde"
"Aluno_59",1,10,11,19.92,34,19,"C",46,"1h 42min 19s",102.32,1,55.88,90.91,"C","tarde"
"Aluno_60",4,7,11,18.92,0,0,"C",56,"1h 26min 18s",86.3,1,0,63.64,"C","tarde"
"Aluno_61",2,8,10,17.58,0,0,"C",49,"1h 20min 27s",80.45,1,0,80,"C","tarde"
"Aluno_62",0,2,2,15.6,1,0,"cc",28,"30min 57s",30.95,0,0,100,"C","tarde"
"Aluno_63",0,0,0,0,59,18,"C",21,"36min 23s",36.38,1,30.51,0,"C","tarde"
"Aluno_64",0,0,0,0,0,0,"H",0,"00s",0,2,0,0,"C","tarde"
"Aluno_65",0,0,0,0,0,0,"H",0,"00s",0,2,0,0,"C","tarde"
"Aluno_66",0,0,0,0,0,0,"H",0,"00s",0,2,0,0,"C","tarde"
